Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Actividades secundarias > Total actividades secundarias Total nacional ,100,100,100,100,100,100,100,100,100,100,100
,Actividades secundarias > Total actividades secundarias Aguascalientes ,1.141839357,1.185300299,1.234767966,1.233764884,1.283710439,1.342191839,1.550829019,1.554875197,1.659347297,1.690567618,1.738767148
,Actividades secundarias > Total actividades secundarias Baja California ,3.834961159,3.376670432,3.370548777,3.262246569,3.266262606,3.286303516,3.346476439,3.652334627,3.774702528,3.88809926,4.002117988
,Actividades secundarias > Total actividades secundarias Baja California Sur ,0.687896768,0.805461179,0.684546445,0.673990102,0.621306576,0.583806174,0.537255499,0.708903889,0.667312321,0.85319798,1.173815724
,Actividades secundarias > Total actividades secundarias Campeche ,15.65689508,15.14106315,13.8720385,12.87745194,12.24471446,12.36147133,11.35935632,10.31235278,9.635234634,8.503151593,8.265931386
,Actividades secundarias > Total actividades secundarias Coahuila de Zaragoza ,5.257337808,4.254693732,5.143715525,5.440021516,5.605476681,5.329862508,5.475142072,5.347294606,5.339774238,5.718096381,5.657486019
,Actividades secundarias > Total actividades secundarias Colima ,0.409671251,0.438547776,0.447222228,0.493522921,0.487741609,0.489067138,0.464234178,0.469830563,0.470705396,0.465285996,0.455499841
,Actividades secundarias > Total actividades secundarias Chiapas ,1.470129193,1.612109,1.721219621,1.682969346,1.646792585,1.480523755,1.558095077,1.420165721,1.300708344,1.119951934,0.996326725
,Actividades secundarias > Total actividades secundarias Chihuahua ,3.400709899,3.230654699,3.139777052,3.07274674,3.394472333,3.603686572,3.591982128,3.733211093,3.973362329,4.077328949,4.069607974
,Actividades secundarias > Total actividades secundarias Ciudad de M�xico ,6.042857216,6.33193303,5.768289438,5.881419511,5.901627572,5.59653969,5.678414014,5.284678248,5.533648869,5.608150148,5.586140493
,Actividades secundarias > Total actividades secundarias Durango ,0.975197487,1.054186502,1.029964777,1.096838631,1.084562326,1.14575868,1.147939014,1.097779918,1.123102527,1.095699532,1.108777501
,Actividades secundarias > Total actividades secundarias Guanajuato ,3.287498075,3.34786635,3.458587263,3.609462333,3.693164042,3.979311153,4.238464827,4.570340437,4.716632105,4.884997546,4.689556104
,Actividades secundarias > Total actividades secundarias Guerrero ,0.786315296,0.779039721,0.786806726,0.752937123,0.756926783,0.809567499,0.856889277,0.78858537,0.808923399,0.774164484,0.818589692
,Actividades secundarias > Total actividades secundarias Hidalgo ,1.493809923,1.486615622,1.438653604,1.441071634,1.439926597,1.459155419,1.524834938,1.636707976,1.674082464,1.61350075,1.621181063
,Actividades secundarias > Total actividades secundarias Jalisco ,5.656115653,5.619584413,5.765001387,5.728989247,5.798315756,5.991027782,6.323539322,6.609117446,6.601041652,6.735280083,6.72240883
,Actividades secundarias > Total actividades secundarias M�xico ,6.860521106,6.8632519,7.280390766,7.352668975,7.257817986,7.374987365,7.087701221,7.021944827,7.044626994,7.555020485,7.706708072
,Actividades secundarias > Total actividades secundarias Michoac�n de Ocampo ,1.437243197,1.293421968,1.35320171,1.32516401,1.303066807,1.319454482,1.373525418,1.315993751,1.298939432,1.269274939,1.258853614
,Actividades secundarias > Total actividades secundarias Morelos ,1.121459528,1.292007198,1.281507655,1.1556626,1.055788227,1.075692043,1.107121169,1.034454749,1.063851271,1.187920876,1.124807735
,Actividades secundarias > Total actividades secundarias Nayarit ,0.451478876,0.430639286,0.40864755,0.397004236,0.397452532,0.406138576,0.46278699,0.45172955,0.458803535,0.424172076,0.398412521
,Actividades secundarias > Total actividades secundarias Nuevo Le�n ,7.700958178,7.699728443,7.995314477,7.949569643,7.905230979,7.856248667,7.877390698,8.351457005,8.204305666,8.453911873,8.766814809
,Actividades secundarias > Total actividades secundarias Oaxaca ,1.147440969,1.298339131,1.210350502,1.237227087,1.227364302,1.31288348,1.319096655,1.339041121,1.229141515,1.030594672,1.154876691
,Actividades secundarias > Total actividades secundarias Puebla ,3.222695208,2.983559402,3.229773352,3.353820694,3.586146851,3.331633224,3.260799578,3.318079827,3.376512271,3.840213964,3.887113239
,Actividades secundarias > Total actividades secundarias Quer�taro ,2.019921868,2.113640997,2.192571843,2.311849445,2.325291686,2.307406875,2.522588253,2.661197523,2.816786099,3.002732783,3.0533335
,Actividades secundarias > Total actividades secundarias Quintana Roo ,0.577559702,0.564306984,0.472016088,0.476543539,0.454006677,0.491325864,0.527405046,0.495312643,0.610355991,0.552969128,0.580731979
,Actividades secundarias > Total actividades secundarias San Luis Potos� ,1.894117927,1.940880422,1.951905313,2.053888213,2.163625558,2.260265299,2.264694532,2.359164528,2.470994907,2.609475898,2.709323089
,Actividades secundarias > Total actividades secundarias Sinaloa ,1.442761833,1.506498338,1.479022821,1.435860549,1.333318938,1.323825289,1.30640575,1.35422869,1.414845089,1.391603111,1.453690242
,Actividades secundarias > Total actividades secundarias Sonora ,3.816460858,3.700406393,3.65285883,4.120008648,4.212244985,4.407909687,4.411105209,4.625585565,4.931950927,4.813088788,4.723898863
,Actividades secundarias > Total actividades secundarias Tabasco ,6.37260709,7.456846392,7.601079168,7.737026892,7.638008567,7.352875255,7.335907874,7.098710131,6.582312219,6.127718305,5.331682005
