Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Actividades primarias > Total actividades primaria Total nacional ,100,100,100,100,100,100,100,100,100,100,100
,Actividades primarias > Total actividades primaria Aguascalientes ,1.349745928,1.305463238,1.335356628,1.470984948,1.451665516,1.423131126,1.468088536,1.480123093,1.475922963,1.498221275,1.516177507
,Actividades primarias > Total actividades primaria Baja California ,2.391550869,2.775897582,2.730024277,2.807161335,2.646533021,2.775813439,2.657635963,2.746714165,2.471355489,2.60340287,2.610270374
,Actividades primarias > Total actividades primaria Baja California Sur ,0.671214838,0.647443753,0.779702798,0.779312005,0.779936879,0.738355047,0.879576819,0.912874246,0.947722659,0.892502503,0.885229327
,Actividades primarias > Total actividades primaria Campeche ,0.682760582,0.744221677,0.868602222,0.809824189,0.803740142,0.789064993,0.86105523,0.906657578,0.950869642,0.918409366,0.967310413
,Actividades primarias > Total actividades primaria Coahuila de Zaragoza ,2.552566371,2.83213334,2.794341148,2.800737774,2.659194688,2.595555712,2.716436009,2.528683867,2.27067387,2.252766462,2.316201553
,Actividades primarias > Total actividades primaria Colima ,1.04039929,0.874150493,0.924325137,1.021113352,0.857057001,0.861217055,0.844635469,0.808563277,0.820346366,0.831940367,0.845704607
,Actividades primarias > Total actividades primaria Chiapas ,4.10331917,4.205909679,4.253311325,4.430628846,4.119244528,4.065734268,3.743086613,3.642401359,3.617385023,3.285712798,3.250052396
,Actividades primarias > Total actividades primaria Chihuahua ,5.046416077,5.317786197,5.579951668,5.416848988,5.159988302,5.701359404,5.84701166,6.036404004,5.377325637,5.990060736,6.035333577
,Actividades primarias > Total actividades primaria Ciudad de M�xico ,0.250571387,0.275638171,0.265554285,0.291250144,0.268755597,0.234059829,0.22935125,0.219567922,0.218304723,0.197464461,0.20138432
,Actividades primarias > Total actividades primaria Durango ,3.603680513,3.791746351,3.571140635,3.428254307,3.634183753,3.681987715,3.639373563,3.478247986,3.561366408,3.453224882,3.302270139
,Actividades primarias > Total actividades primaria Guanajuato ,4.626367119,4.756530144,4.520620013,4.727707868,4.379576163,4.601132291,4.485142483,4.266799042,4.232736484,4.339472575,4.439079644
,Actividades primarias > Total actividades primaria Guerrero ,2.469539014,2.438074553,2.536840483,2.614878411,2.367775333,2.137704289,2.29805498,2.116012943,2.268599807,2.269828537,2.209314877
,Actividades primarias > Total actividades primaria Hidalgo ,2.240568977,2.120610813,2.111364769,1.925056802,2.083454655,2.096499229,2.026902246,1.948495797,1.883071472,1.803294103,1.753360279
,Actividades primarias > Total actividades primaria Jalisco ,10.92421495,10.67697499,11.43416346,11.22160431,11.51404814,11.24999258,11.51256227,11.51701713,11.34956351,11.64241924,11.8117155
,Actividades primarias > Total actividades primaria M�xico ,4.231534982,3.691957439,3.919013793,3.458072373,3.927908343,3.895835203,3.928917147,3.952880978,4.071872366,3.900193797,3.411767431
,Actividades primarias > Total actividades primaria Michoac�n de Ocampo ,7.955187342,7.553040504,6.951178294,8.113940853,7.569472247,7.738890216,8.273809191,7.914332839,8.916113404,9.224007479,9.364731974
,Actividades primarias > Total actividades primaria Morelos ,1.074985954,1.179147943,1.193144391,1.139115555,1.045668947,1.185356913,1.073959363,0.995233911,1.045228238,1.046350488,1.102502641
,Actividades primarias > Total actividades primaria Nayarit ,1.697961141,1.548652598,1.556006207,1.80628958,1.67151773,1.539437522,1.355138273,1.327077619,1.461906971,1.447258208,1.367741523
,Actividades primarias > Total actividades primaria Nuevo Le�n ,1.41606684,1.514416348,1.582954809,1.445648619,1.382282691,1.340291377,1.292050998,1.17433638,1.091223289,1.049814961,1.031592591
,Actividades primarias > Total actividades primaria Oaxaca ,2.689844295,2.789643704,2.739586823,2.794170705,2.78608303,2.839376442,2.74988263,2.670153814,2.66141218,2.606823818,2.624175481
,Actividades primarias > Total actividades primaria Puebla ,4.375534254,4.196460047,4.295429106,4.21710616,4.429852475,4.341756831,4.158718155,4.449902772,4.279814811,4.15461895,4.158318585
,Actividades primarias > Total actividades primaria Quer�taro ,1.340290365,1.342864208,1.448181679,1.408027913,1.533241755,1.538666734,1.616705157,1.67894815,1.590386003,1.711523897,1.673193837
,Actividades primarias > Total actividades primaria Quintana Roo ,0.274963894,0.333596474,0.395487334,0.42371787,0.37810014,0.387584834,0.364642084,0.363977267,0.348511426,0.36573048,0.427517316
,Actividades primarias > Total actividades primaria San Luis Potos� ,2.087896727,1.973922578,2.09878314,1.934314745,1.913928201,2.251905013,2.414337491,2.350864508,2.356638369,2.391547493,2.518326601
,Actividades primarias > Total actividades primaria Sinaloa ,8.188112648,7.858611085,6.897222897,6.511824887,7.217730645,7.123013741,6.979844457,7.771681071,8.014275628,7.426889424,7.592619096
,Actividades primarias > Total actividades primaria Sonora ,5.741385144,5.887032066,5.866078499,5.924935481,6.218856638,5.860657099,5.754289012,6.186116387,6.248535102,6.594009618,6.622561776
,Actividades primarias > Total actividades primaria Tabasco ,1.492975771,1.473700289,1.464690328,1.454133878,1.540045947,1.486533238,1.417285849,1.416974768,1.388003674,1.522992313,1.530040561
,Actividades primarias > Total actividades primaria Tamaulipas ,3.431592887,3.413673077,3.592400231,3.319171931,3.139890834,2.813432906,3.324058868,2.964557227,3.08393457,2.801740617,2.509786786
,Actividades primarias > Total actividades primaria Tlaxcala ,0.73688226,0.668995718,0.729262356,0.499603789,0.712213262,0.633366592,0.634256321,0.62335578,0.588617909,0.559785911,0.554643113
,Actividades primarias > Total actividades primaria Veracruz de Ignacio de la Llave ,7.5697861,7.963173011,7.625183076,8.090134775,7.804618079,7.976143394,7.448276563,7.688386336,7.229878429,7.242918413,7.31922782
,Actividades primarias > Total actividades primaria Yucat�n ,1.607029206,1.722154519,1.748672205,1.852767728,1.785643306,1.701923085,1.71372711,1.690805546,1.678662754,1.595213064,1.647181567
,Actividades primarias > Total actividades primaria Zacatecas ,2.135055108,2.12637741,2.19142599,1.861659876,2.217792014,2.394221883,2.291188243,2.171852238,2.499740827,2.379860896,2.400666782
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Total Nacional ,100,100,100,100,100,100,100,100,100,100,100
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Aguascalientes ,1.349745928,1.305463238,1.335356628,1.470984948,1.451665516,1.423131126,1.468088536,1.480123093,1.475922963,1.498221275,1.516177507
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Baja California ,2.391550869,2.775897582,2.730024277,2.807161335,2.646533021,2.775813439,2.657635963,2.746714165,2.471355489,2.60340287,2.610270374
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Baja California Sur ,0.671214838,0.647443753,0.779702798,0.779312005,0.779936879,0.738355047,0.879576819,0.912874246,0.947722659,0.892502503,0.885229327
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Campeche ,0.682760582,0.744221677,0.868602222,0.809824189,0.803740142,0.789064993,0.86105523,0.906657578,0.950869642,0.918409366,0.967310413
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Coahuila de Zaragoza ,2.552566371,2.83213334,2.794341148,2.800737774,2.659194688,2.595555712,2.716436009,2.528683867,2.27067387,2.252766462,2.316201553
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Colima ,1.04039929,0.874150493,0.924325137,1.021113352,0.857057001,0.861217055,0.844635469,0.808563277,0.820346366,0.831940367,0.845704607
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Chiapas ,4.10331917,4.205909679,4.253311325,4.430628846,4.119244528,4.065734268,3.743086613,3.642401359,3.617385023,3.285712798,3.250052396
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Chihuahua ,5.046416077,5.317786197,5.579951668,5.416848988,5.159988302,5.701359404,5.84701166,6.036404004,5.377325637,5.990060736,6.035333577
