Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Actividades terciarias >  Total actividades terciarias Total nacional ,100,100,100,100,100,100,100,100,100,100,100
,Actividades terciarias >  Total actividades terciarias Aguascalientes ,0.977547412,0.95992762,0.949838889,0.9588575,0.962974485,0.964698547,0.980750477,0.999920526,1.032771771,1.029589364,1.040729203
,Actividades terciarias >  Total actividades terciarias Baja California ,2.841793108,2.783451738,2.784412311,2.808410373,2.805054413,2.82451694,2.799320171,2.81586658,2.88435816,2.893944017,2.854028335
,Actividades terciarias >  Total actividades terciarias Baja California Sur ,0.800841314,0.795516814,0.817971881,0.823158931,0.833742102,0.814195667,0.810203391,0.82038419,0.840066093,0.855761649,0.891453841
,Actividades terciarias >  Total actividades terciarias Campeche ,0.776106469,0.774111119,0.76158334,0.769605295,0.764548423,0.764827121,0.755929474,0.733246705,0.684885035,0.659812927,0.656197545
,Actividades terciarias >  Total actividades terciarias Coahuila de Zaragoza ,2.476650735,2.453519332,2.497929603,2.514278564,2.516363968,2.499156274,2.48190694,2.464168655,2.461710248,2.471381816,2.472608208
,Actividades terciarias >  Total actividades terciarias Colima ,0.600712748,0.609896445,0.620122767,0.622376319,0.625725455,0.619950628,0.631556986,0.621318805,0.621956688,0.634886062,0.63946668
,Actividades terciarias >  Total actividades terciarias Chiapas ,1.851965802,1.899139301,1.850762793,1.85603517,1.834442455,1.843716229,1.872291615,1.798492922,1.782801896,1.744020533,1.696186936
,Actividades terciarias >  Total actividades terciarias Chihuahua ,2.755562023,2.642908313,2.63989116,2.637859253,2.639907922,2.617018967,2.58018637,2.600468138,2.627391746,2.615846159,2.621362657
,Actividades terciarias >  Total actividades terciarias Ciudad de M�xico ,24.24259752,24.3567695,24.1555413,23.8987404,23.89310057,23.94506579,23.9306066,24.24175861,24.09747591,24.12170438,24.1402286
,Actividades terciarias >  Total actividades terciarias Durango ,1.116440484,1.126981052,1.130976366,1.120376254,1.113824737,1.114273915,1.102151805,1.079053816,1.089314137,1.060760842,1.051300209
,Actividades terciarias >  Total actividades terciarias Guanajuato ,3.54801747,3.560702698,3.632813887,3.673345018,3.668523857,3.66693785,3.629526194,3.61130492,3.583477967,3.66051736,3.700008294
,Actividades terciarias >  Total actividades terciarias Guerrero ,1.769112536,1.806045938,1.796999055,1.755057344,1.715066227,1.668051677,1.662714596,1.648310951,1.612631017,1.576925524,1.569182079
,Actividades terciarias >  Total actividades terciarias Hidalgo ,1.380845196,1.364582818,1.399990899,1.418888407,1.413089418,1.453891265,1.479875476,1.502121178,1.5232074,1.520295833,1.531872329
,Actividades terciarias >  Total actividades terciarias Jalisco ,6.54231395,6.554931749,6.550244505,6.532141657,6.537920875,6.539533233,6.555852963,6.445707779,6.614731558,6.568123358,6.617353916
,Actividades terciarias >  Total actividades terciarias M�xico ,9.382196246,9.425618678,9.495821199,9.576258316,9.68909896,9.680224825,9.830246947,9.813322393,9.817160358,9.919280027,9.987972239
,Actividades terciarias >  Total actividades terciarias Michoac�n de Ocampo ,2.523047861,2.599594079,2.562321496,2.546837372,2.532218294,2.528650317,2.571301445,2.555600445,2.558063436,2.578327298,2.570820159
,Actividades terciarias >  Total actividades terciarias Morelos ,1.216264521,1.20402184,1.186420742,1.18604639,1.187789804,1.209403131,1.184974339,1.186203678,1.189414415,1.172034456,1.145082274
,Actividades terciarias >  Total actividades terciarias Nayarit ,0.759333886,0.772207067,0.783301274,0.771513759,0.737531279,0.751053828,0.755397364,0.774708314,0.784684982,0.789772419,0.776336689
,Actividades terciarias >  Total actividades terciarias Nuevo Le�n ,7.04222091,6.888582839,6.978230048,7.070670568,7.150655109,7.146114242,7.196286575,7.247349013,7.335489894,7.436927101,7.465365229
,Actividades terciarias >  Total actividades terciarias Oaxaca ,1.757038106,1.772883781,1.734433746,1.703347573,1.663949048,1.638103249,1.619670226,1.633627175,1.590209855,1.582863512,1.559033731
,Actividades terciarias >  Total actividades terciarias Puebla ,3.213691314,3.21479092,3.243370638,3.251084924,3.243384457,3.260663199,3.236562101,3.17140093,3.166433239,3.152069388,3.151931401
,Actividades terciarias >  Total actividades terciarias Quer�taro ,1.915018395,1.942499662,1.928353415,1.982586052,1.949673527,1.935195683,1.956548253,1.971981902,1.968542176,1.966823858,1.979013276
,Actividades terciarias >  Total actividades terciarias Quintana Roo ,1.950334985,1.859695893,1.899498998,1.924344309,1.954138102,1.988816642,1.989244697,2.021164151,2.054931633,2.113812352,2.154771037
,Actividades terciarias >  Total actividades terciarias San Luis Potos� ,1.851976451,1.83213505,1.823823339,1.828410028,1.800716158,1.801551423,1.795452131,1.78012914,1.773394722,1.762704589,1.782947205
,Actividades terciarias >  Total actividades terciarias Sinaloa ,2.300217345,2.299721453,2.305029911,2.305393227,2.30977212,2.302952898,2.286042027,2.288514058,2.314368278,2.314064026,2.280979791
,Actividades terciarias >  Total actividades terciarias Sonora ,2.432183625,2.460036089,2.495781386,2.517832453,2.526617737,2.531662823,2.522720954,2.508246267,2.519949271,2.452275929,2.449866319
,Actividades terciarias >  Total actividades terciarias Tabasco ,1.632180318,1.634202709,1.613291885,1.624688166,1.637161848,1.656517335,1.635335921,1.62109638,1.558193291,1.502602272,1.463680135
,Actividades terciarias >  Total actividades terciarias Tamaulipas ,2.793147449,2.755148036,2.742032771,2.759019876,2.742985161,2.753489827,2.699816269,2.698524581,2.705507644,2.672746836,2.641131528
,Actividades terciarias >  Total actividades terciarias Tlaxcala ,0.574087155,0.582595138,0.570590903,0.569156459,0.55910431,0.563923613,0.55246864,0.547837273,0.537134121,0.52798817,0.517377287
,Actividades terciarias >  Total actividades terciarias Veracruz de Ignacio de la Llave ,4.676384227,4.740028879,4.732963571,4.693828161,4.682367958,4.5846559,4.569336374,4.488907653,4.355105962,4.324025445,4.275106171
